ID,NLLB_Output,NLLB_SelfBackTrans_English,NLLB_SelfScore_English,NLLB_SelfBackTrans_Swedish,NLLB_SelfScore_Swedish,NLLB_SelfBackTrans_Turkish,NLLB_SelfScore_Turkish,NLLB_SelfBackTrans_French,NLLB_SelfScore_French,NLLB_SelfBackTrans_German,NLLB_SelfScore_German,NLLB_SelfBackTrans_Russian,NLLB_SelfScore_Russian,NLLB_SelfBackTrans_Polish,NLLB_SelfScore_Polish,NLLB_SelfBackTrans_Hungarian,NLLB_SelfScore_Hungarian,NLLB_SelfBackTrans_Italian,NLLB_SelfScore_Italian,NLLB_SelfBackTrans_Albanian,NLLB_SelfScore_Albanian,NLLB_SelfBackTrans_Chinese,NLLB_SelfScore_Chinese,NLLB_SelfBackTrans_Japanese,NLLB_SelfScore_Japanese,NLLB_SelfBackTrans_Arabic,NLLB_SelfScore_Arabic,NLLB_SelfBackTrans_Hebrew,NLLB_SelfScore_Hebrew,NLLB_SelfBackTrans_Hindi,NLLB_SelfScore_Hindi,NLLB_SelfBackTrans_Swahili,NLLB_SelfScore_Swahili
25,Μερικές από τις μηχανικές ταξίδεψαν στο εξωτερικό.,Μερικοί από τους μηχανικούς ταξίδεψαν στο εξωτερικό.,0,Μερικοί από τους μηχανικούς ταξίδεψαν στο εξωτερικό.,0,Μερικοί μηχανικοί πήγαν στο εξωτερικό.,0,Μερικές από τις μηχανικές ταξίδεψαν στο εξωτερικό.,1,Μερικές από τις μηχανικές ταξίδεψαν στο εξωτερικό.,1,Μερικοί μηχανικοί έφυγαν στο εξωτερικό.,0,Μερικές από τις μηχανικές πήγαν στο εξωτερικό.,0,Μερικοί μηχανικοί ταξίδεψαν στο εξωτερικό.,0,Μερικοί από τους μηχανικούς πήγαν στο εξωτερικό.,0,Μερικοί από τους μηχανικούς ταξίδεψαν σε εξωγήινους.,0,Μερικοί μηχανικοί έχουν φύγει από το εξωτερικό.,0,Μερικοί μηχανικοί πήγαν στο εξωτερικό.,0,Μερικές μηχανικές ταξίδεψαν στο εξωτερικό.,0,Μερικοί από τους μηχανικούς πήγαν στο εξωτερικό.,0,Μερικές γυναίκες μηχανικοί πήγαν στο εξωτερικό.,0,Μερικοί μηχανικοί ταξίδεψαν στο εξωτερικό.,0
26,Η ίδια έφτιαξε το αυτοκίνητο.,Η ίδια έφτιαξε το αυτοκίνητο.,1,Έφτιαξε το αυτοκίνητο μόνη της.,0,Ο ίδιος έφτιαξε το αυτοκίνητο.,0,Η ίδια έφτιαξε το αυτοκίνητο.,1,Η ίδια έφτιαξε το αυτοκίνητο.,1,Έφτιαξε μόνη της το αυτοκίνητο.,0,Έφτιαξε το αυτοκίνητο μόνη της.,0,Εσύ έφτιαξες το αυτοκίνητο.,0,Εσύ έφτιαξες το αυτοκίνητο.,0,Η ίδια έφτιαξε το αυτοκίνητο.,1,Η ίδια έφτιαξε το αυτοκίνητο.,1,Η ίδια έφτιαξε το αυτοκίνητο.,1,Η ίδια έφτιαξε το αυτοκίνητο.,1,Η ίδια έφτιαξε το αυτοκίνητο.,1,Ο ίδιος επισκευάστηκε το αυτοκίνητο.,0,Ο ίδιος επισκευάστηκε το αυτοκίνητο.,0
27,Οι ίδιες οργάνωσαν την εκδήλωση.,Αυτοί οι ίδιοι οργάνωσαν την εκδήλωση.,0,Αυτοί διοργάνωσαν την εκδήλωση.,0,Αυτοί οργάνωσαν την εκδήλωση.,0,Οι ίδιες οργάνωσαν την εκδήλωση.,1,Εσείς οργανώσατε την εκδήλωση.,0,Αυτοί διοργάνωσαν την εκδήλωση.,0,Αυτοί διοργάνωσαν την εκδήλωση.,0,Εσείς οργανώσατε την εκδήλωση.,0,Αυτοί οι ίδιοι οργάνωσαν την εκδήλωση.,0,Αυτοί διοργάνωσαν την εκδήλωση.,0,Οι ίδιες οργανώνουν την εκδήλωση.,0,Οι ίδιες οργάνωσαν την εκδήλωση.,1,Είναι οι ίδιοι οι διοργανωτές της εκδήλωσης.,0,Αυτοί οι ίδιοι οργάνωσαν την εκδήλωση.,0,Ο ίδιος διοργάνωσε το πρόγραμμα.,0,Οι ίδιοι οργάνωσαν την εκδήλωση.,0
28,Όσοι συμμετείχαν στο πρόγραμμα έμειναν ικανοποιημένοι.,Εκείνοι που συμμετείχαν στο πρόγραμμα ήταν ικανοποιημένοι.,0,Όσοι συμμετείχαν στο πρόγραμμα ήταν ικανοποιημένοι.,0,Οι συμμετέχοντες ήταν ευχαριστημένοι.,0,Όσοι συμμετείχαν στο πρόγραμμα ήταν ικανοποιημένοι.,0,Όσοι συμμετείχαν στο πρόγραμμα ήταν ικανοποιημένοι.,0,Όσοι συμμετείχαν στο πρόγραμμα έμειναν ικανοποιημένοι.,1,Όσοι συμμετείχαν στο πρόγραμμα ήταν ικανοποιημένοι.,0,Όσοι συμμετείχαν στο πρόγραμμα ήταν ικανοποιημένοι.,0,Όσοι συμμετείχαν στο πρόγραμμα ήταν ικανοποιημένοι.,0,Όσοι συμμετείχαν στο πρόγραμμα ήταν ικανοποιημένοι.,0,Οι συμμετέχοντες ήταν ικανοποιημένοι.,0,Οι άνθρωποι που συμμετείχαν στο πρόγραμμα ήταν ικανοποιημένοι.,0,Όσοι συμμετείχαν στο πρόγραμμα ήταν ικανοποιημένοι.,0,Όσοι συμμετείχαν στο πρόγραμμα ήταν ευχαριστημένοι.,0,Όσοι συμμετείχαν στο πρόγραμμα ήταν ικανοποιημένοι.,0,Εκείνοι που συμμετείχαν στο πρόγραμμα ήταν χαρούμενοι.,0
29,Τέτοιες επιστήμονες δεν βρίσκονται εύκολα.,Τέτοιοι επιστήμονες δεν βρίσκονται εύκολα.,0,Δεν είναι εύκολο να βρεθούν τέτοιοι επιστήμονες.,0,Δεν είναι εύκολο να βρεθούν τέτοιοι επιστήμονες.,0,Δεν είναι εύκολο να βρεθούν τέτοιοι επιστήμονες.,0,Τέτοιες επιστήμονες δεν είναι εύκολο να βρεθούν.,0,Δεν είναι εύκολο να βρεις τέτοιοι επιστήμονες.,0,Οι επιστήμονες δεν είναι εύκολο να βρεθούν.,0,Δεν είναι εύκολο να βρεις τέτοιοι επιστήμονες.,0,Τέτοιες επιστήμονες δεν είναι εύκολο να βρεθούν.,0,Τέτοιες επιστήμονες δεν είναι εύκολο να βρεθούν.,0,Δεν είναι εύκολο να βρεθούν τέτοιοι επιστήμονες.,0,Ένας τέτοιος επιστήμονας δεν είναι εύκολο να βρεθεί.,0,Τέτοιοι κόσμοι δεν βρίσκονται εύκολα.,0,Δεν είναι εύκολο να βρεθούν τέτοιες μάστιγες.,0,Δεν είναι εύκολο να βρεθούν τέτοιοι επιστήμονες.,0,Αυτοί οι επιστήμονες είναι σπάνιοι.,0
30,Η ίδια παρουσίασε το σχέδιο.,Η ίδια παρουσίασε το έργο.,0,Η ίδια παρουσίασε το πρότζεκτ.,0,Αυτός ο ίδιος πρότεινε το σχέδιο.,0,Η ίδια παρουσίασε το σχέδιο.,1,Η ίδια παρουσίασε το έργο.,0,Η ίδια παρουσίασε το σχέδιο.,1,Η ίδια παρουσίασε το σχέδιο.,1,Εσύ παρουσίασες το σχέδιο.,0,Η ίδια παρουσίασε το σχέδιο.,1,Η ίδια παρουσίασε το σχέδιο.,1,Η ίδια παρουσίασε το έργο της.,0,Η ίδια ανακοίνωσε το έργο της.,0,Η ίδια ανέπτυξε το έργο.,0,Η ίδια παρουσίασε το έργο.,0,Ο ίδιος παρουσίασε το σχέδιο.,0,Αυτός ο ίδιος παρουσίασε το έργο.,0
31,Η Σόλα ολοκλήρωσε το έργο.,Τελείωσε το έργο μόνη της.,0,Τελείωσε το έργο μόνη της.,0,Ο ίδιος ολοκλήρωσε το έργο.,0,Ολοκλήρωσε το έργο μόνη της.,0,Τελείωσε το έργο μόνη της.,0,Τελείωσε το έργο μόνη της.,0,Η ίδια ολοκλήρωσε το σχέδιο.,0,Ο ίδιος ολοκλήρωσε το έργο.,0,Τελείωσε το έργο μόνη της.,0,Ο ίδιος ολοκλήρωσε το έργο.,0,Αυτή ολοκλήρωσε το έργο μόνη της.,0,Τελείωσε το έργο μόνη της.,0,Τελείωσε το έργο μόνη της.,0,Τελείωσε το έργο μόνη της.,0,Ο ίδιος ολοκλήρωσε το έργο.,0,Ο ίδιος ολοκλήρωσε το έργο.,0
32,Πάντα βοηθάνε ο ένας τον άλλον.,Πάντα βοηθάνε ο ένας τον άλλον.,1,Πάντα βοηθάνε ο ένας τον άλλον.,1,Πάντα βοηθάνε ο ένας τον άλλον.,1,Πάντα βοηθάνε η μία την άλλη.,0,Πάντα βοηθάνε ο ένας τον άλλον.,1,Πάντα βοηθάνε ο ένας τον άλλον.,1,Πάντα βοηθάνε ο ένας τον άλλον.,1,Πάντα βοηθάνε ο ένας τον άλλον.,1,Πάντα βοηθάνε ο ένας τον άλλον.,1,Πάντα βοηθάνε ο ένας τον άλλον.,1,Συνεχίζουν να βοηθούν ο ένας τον άλλον.,0,Πάντα βοηθάνε η μία την άλλη.,0,Πάντα βοηθάνε ο ένας τον άλλον.,1,Πάντα βοηθάνε η μία την άλλη.,0,Πάντα βοηθάνε ο ένας τον άλλον.,1,Πάντα βοηθάνε ο ένας τον άλλον.,1
33,Υποστηρίζουν η μία την άλλη στη δουλειά.,Υποστηρίζουν ο ένας τον άλλον στη δουλειά.,0,Υποστηρίζουν ο ένας τον άλλον στη δουλειά.,0,Αυτοί στηρίζουν ο ένας τον άλλον.,0,Υποστηρίζουν η μία την άλλη στη δουλειά.,1,Υποστηρίζουν ο ένας τον άλλον στη δουλειά τους.,0,Υποστηρίζουν ο ένας τον άλλον στη δουλειά.,0,Υποστηρίζουν ο ένας τον άλλον στη δουλειά τους.,0,Υποστηρίζουν ο ένας τον άλλον στη δουλειά.,0,Υποστηρίζουν ο ένας τον άλλον στη δουλειά.,0,Υποστηρίζουν ο ένας τον άλλον στη δουλειά.,0,Οι γυναίκες στηρίζουν ο ένας τον άλλον στη δουλειά τους.,0,Υποστηρίζουν η μία την άλλη στην εργασία τους.,0,Υποστηρίζουν ο ένας τον άλλον στη δουλειά.,0,Υποστηρίζουν η μία την άλλη στη δουλειά.,1,Υποστηρίζουν ο ένας τον άλλον στη δουλειά.,0,Υποστηρίζουν ο ένας τον άλλον στη δουλειά.,0
34,Ποιός από τους γιατρούς είναι σε υπηρεσία σήμερα;,Ποιος από τους γιατρούς είναι σε υπηρεσία σήμερα;,0,Ποιος από τους γιατρούς είναι σε υπηρεσία σήμερα;,0,Ποιος γιατρός είναι σήμερα;,0,Ποιος από τους γιατρούς είναι σε υπηρεσία σήμερα;,0,Ποιος γιατρός είναι σε υπηρεσία σήμερα;,0,Ποιος γιατρός είναι σήμερα;,0,Ποιος γιατρός είναι σήμερα;,0,Ποιος γιατρός είναι στη δουλειά σήμερα;,0,Ποια γιατρός είναι σήμερα;,0,Ποια γιατρός είναι σε υπηρεσία σήμερα;,0,Ποιος γιατρός είναι στη δουλειά σήμερα;,0,Ποιος γιατρός είναι στη δουλειά σήμερα;,0,Ποιός γιατρός είναι σήμερα;,0,Ποια γιατρός είναι σήμερα;,0,Ποια γυναίκα γιατρός είναι σε υπηρεσία σήμερα;,0,Ποιος γιατρός εργάζεται σήμερα;,0
35,Ποιες από τις μηχανικές θα παρουσιάσουν το σχέδιο;,Ποιος από τους μηχανικούς θα παρουσιάσει το έργο;,0,Ποιοι από τους μηχανικούς θα παρουσιάσουν το έργο;,0,Ποιοι μηχανικοί θα παρουσιάσουν το σχέδιο;,0,Ποιες από τις μηχανικές θα παρουσιάσουν το σχέδιο;,1,Ποιες μηχανικές θα παρουσιάσουν το έργο;,0,Ποιοι μηχανικοί θα παρουσιάσουν το σχέδιο;,0,Ποιες μηχανικές θα παρουσιάσουν το πρότζεκτ;,0,Ποιοι μηχανικοί θα παρουσιάσουν το έργο;,0,Ποιοι μηχανικοί θα παρουσιάσουν το σχέδιο;,0,Ποιες μηχανικές θα παρουσιάσουν το σχέδιο;,0,Ποιοι μηχανικοί θα παρουσιάσουν το έργο;,0,Ποιοι μηχανικοί θα ανακοινώσουν το έργο τους;,0,Ποιες μηχανικές θα παρουσιάσουν το έργο;,0,Ποιοι μηχανικοί θα παρουσιάσουν το πρότζεκτ;,0,Ποιες γυναίκες μηχανικοί θα παρουσιάσουν το έργο;,0,Ποιοι μηχανικοί θα υποβάλουν το σχέδιο;,0
36,Θα φτιάξω εγώ το αυτοκίνητο.,Εγώ ο ίδιος θα επισκευάσω το αυτοκίνητο.,0,Θα το φτιάξω μόνος μου.,0,Θα φτιάξω το αυτοκίνητο μόνος μου.,0,Εγώ ο ίδιος θα φτιάξω το αυτοκίνητο.,0,Εγώ ο ίδιος θα επισκευάσω το αυτοκίνητο.,0,Θα φτιάξω εγώ το αυτοκίνητο.,1,Θα φτιάξω μόνος μου το αυτοκίνητο.,0,Θα επισκευάσω το αυτοκίνητο μόνος μου.,0,Θα επισκευάσω το αυτοκίνητο μόνος μου.,0,Θα επισκευάσω το αυτοκίνητο μόνος μου.,0,Θα φτιάξω μόνος μου το αυτοκίνητο.,0,Θα επισκευάσω το αυτοκίνητο μόνος μου.,0,Θα το φτιάξω μόνος μου.,0,Θα φτιάξω το αυτοκίνητο μόνος μου.,0,Θα επισκευάσω το αυτοκίνητο μόνη μου.,0,Εγώ ο ίδιος θα επισκευαστεί το αυτοκίνητο.,0
37,Εμείς οι ίδιοι θα οργανώσουμε την εκδήλωση.,Εμείς οι ίδιοι θα οργανώσουμε την εκδήλωση.,1,Εμείς οι ίδιοι θα οργανώσουμε την εκδήλωση.,1,Θα οργανώσουμε την εκδήλωση μόνοι μας.,0,Εμείς οι ίδιοι θα οργανώσουμε την εκδήλωση.,1,Εμείς οι ίδιοι θα οργανώσουμε την εκδήλωση.,1,Εμείς οργανώνουμε την εκδήλωση.,0,Θα οργανώσουμε την εκδήλωση μόνοι μας.,0,Εμείς θα οργανώσουμε την εκδήλωση.,0,Εμείς θα οργανώσουμε την εκδήλωση.,0,Θα οργανώσουμε την εκδήλωση μόνοι μας.,0,Εμείς οι ίδιοι θα οργανώσουμε τις εκδηλώσεις.,0,Εμείς οι ίδιοι οργανώνουμε την εκδήλωση.,0,Εμείς οι ίδιοι θα οργανώσουμε την εκδήλωση.,1,Εμείς οι ίδιοι θα οργανώσουμε την εκδήλωση.,1,Θα το διοργανώσουμε εμείς οι ίδιοι.,0,Εμείς οι ίδιοι θα οργανώσουμε μια εκδήλωση.,0
38,Οι μεγάλες νυχτερίδες που είδαμε,Οι μεγάλες νυχτερίδες που είδαμε,1,Τα μεγάλα ξύλα που είδαμε,0,Οι μεγάλες ράβδοι που είδαμε,0,Οι μεγάλες νυχτερίδες που είδαμε,1,Τα μεγάλα ρόπαλα που είδαμε,0,Τα μεγάλα κομμάτια που είδαμε,0,Οι μεγάλες ράβδοι που είδαμε,0,Τα μεγάλα ρόπαλα που είδαμε,0,Τα μεγάλα μπαστούνια που είδαμε.,0,Τα μεγάλα ραβδιά που είδαμε,0,Το μεγάλο μπαλάκι που βλέπουμε.,0,Η μεγάλη νυχτερίδα που είδαμε.,0,Τα μεγάλα σπαθιά που είδαμε.,0,Τα μεγάλα σπαθιά που είδαμε,0,Οι μεγάλες νυχτερίδες που είδαμε,1,Τα μεγάλα ερείπια που είδαμε,0
39,Εκείνη η τράπεζα.,Αυτό το παγκάκι εκεί.,0,Εκείνη η καρέκλα.,0,Εκείνη η τράπεζα.,1,Αυτό το παγκάκι εκεί.,0,Αυτή η τράπεζα εκεί,0,Αυτή η καρέκλα είναι εκεί.,0,Εκείνο το παγκάκι.,0,Αυτό το παγκάκι εκεί.,0,Αυτό το παγκάκι εκεί.,0,Αυτός κάθεται εκεί.,0,Το τραπέζι εκεί.,0,Αυτό το παγκάκι.,0,Αυτό το κάθισμα εκεί.,0,Αυτός ο πάγκος είναι εκεί.,0,Έχει το παγκάκι εκεί,0,Το ίδιο παγκάκι εκεί,0
40,Η αρχαία φώκιας,Η παλιά σφραγίδα,0,Η παλιά σφραγίδα,0,Παλιά φώκια,0,Η παλιά φώκιας,0,Η παλιά σφραγίδα,0,Μια παλιά φώκια.,0,Παλιά φώκια,0,Η γριά φώκιας,0,Η γριά φώκιας.,0,Η παλιά σφραγίδα,0,Η παλιά παραλία,0,Παλιό αρκουδάκι.,0,Η παλιά φώκια.,0,Ο γέρος σκύλος του θαλασσινού,0,παλιά σφραγίδα,0,Η αρχαία φάλαινα,0
41,Η Άλεξ είναι εξαιρετική δικηγόρος.,Ο Άλεξ είναι ένας εξαιρετικός δικηγόρος.,0,Ο Άλεξ είναι ένας εξαιρετικός δικηγόρος.,0,Ο Άλεξ είναι ένας εξαιρετικός δικηγόρος.,0,Η Άλεξ είναι εξαιρετική δικηγόρος.,1,Η Άλεξ είναι μια εξαιρετική δικηγόρος.,0,Ο Άλεξ είναι σπουδαίος δικηγόρος.,0,Η Άλεξ είναι εξαιρετική δικηγόρος.,1,Ο Άλεξ είναι ένας εξαιρετικός δικηγόρος.,0,Η Άλεξ είναι εξαιρετική δικηγόρος.,1,Ο Άλεξ είναι ένας εξαιρετικός δικηγόρος.,0,Ο Alex είναι ένας εξαιρετικός δικηγόρος.,0,Ο Άλεξ είναι ένας πολύ καλός δικηγόρος.,0,Η Άλεξ είναι εξαιρετική δικηγόρος.,1,Η Άλεξ είναι εξαιρετική δικηγόρος.,1,Η Άλεξ είναι μια εξαιρετική γυναίκα δικηγόρος.,0,Ο Άλεξ είναι ένας καλός δικηγόρος.,0
42,Η Τζόρνταν εργάζεται ως μηχανικός.,Ο Τζόρνταν δουλεύει ως μηχανικός.,0,Ο Τζόρνταν είναι μηχανικός.,0,Ο Τζόρνταν εργάζεται ως μηχανικός.,0,Η Τζόρνταν εργάζεται ως μηχανικός.,1,Η Τζόρνταν εργάζεται ως μηχανικός.,1,Ο Τζόρνταν εργάζεται ως μηχανικός.,0,Η Τζόρνταν εργάζεται ως μηχανικός.,1,Η Τζόρνταν εργάζεται ως μηχανικός.,1,Ο Τζόρνταν εργάζεται ως μηχανικός.,0,Ο Τζόρνταν εργάζεται ως μηχανικός.,0,Ο Τζόρνταν είναι μηχανικός.,0,Ο Τζόρνταν εργάζεται ως μηχανικός.,0,Η Τζόρνταν εργάζεται ως μηχανικός.,1,Η Τζόρνταν εργάζεται ως μηχανικός.,1,Η Τζόρνταν εργάζεται ως γυναίκα μηχανικός.,0,Ο Τζόρνταν είναι μηχανικός.,0
43,Η Μόργκαν είναι μια επιτυχημένη επιχειρηματίας.,Ο Μόργκαν είναι επιτυχημένος επιχειρηματίας.,0,Ο Μόργκαν είναι ένας επιτυχημένος επιχειρηματίας.,0,Ο Μόργκαν είναι ένας επιτυχημένος επιχειρηματίας.,0,Η Μόργκαν είναι μια επιτυχημένη επιχειρηματίας.,1,Η Μόργκαν είναι μια επιτυχημένη επιχειρηματίας.,1,Η Μόργκαν είναι μια επιτυχημένη επιχειρηματίας.,1,Η Μόργκαν είναι μια επιτυχημένη επιχειρηματίας.,1,Ο Μόργκαν είναι ένας επιτυχημένος επιχειρηματίας.,0,Η Μόργκαν είναι μια επιτυχημένη επιχειρηματίας.,1,Η Μόργκαν είναι μια επιτυχημένη επιχειρηματίας.,1,Ο Morgan είναι ένας επιτυχημένος επιχειρηματίας.,0,Ο Μόργκαν είναι ένας επιτυχημένος επιχειρηματίας.,0,Η Μόργκαν είναι μια επιτυχημένη επιχειρηματίας.,1,Η Μόργκαν είναι μια επιτυχημένη επιχειρηματίας.,1,Η Μόργκαν είναι μια επιτυχημένη γυναίκα επιχειρηματίας.,0,Ο Μόργκαν είναι ένας επιτυχημένος επιχειρηματίας.,0
44,Ακούστε!,Ακούστε με!,0,Ακούστε με!,0,Ακούστε με!,0,Ακούστε!,1,Ακούστε με!,0,Ακούστε με!,0,Ακούστε με!,0,Ακούστε με.,0,Ακούστε!,1,Ακούστε!,1,Ακούστε!,1,Ακούστε με!,0,Ακούστε!,1,Ακούστε με!,0,Ακούστε!,1,Ακούστε!,1
45,Κοιτάξτε!,Κοιτάξτε! Κοιτάξτε!,0,Κοιτάξτε!,1,Κοιτάξτε!,1,Κοιτάξτε!,1,Κοιτάξτε!,1,Κοιτάξτε!,1,Κοιτάξτε!,1,Κοιτάξτε!,1,Κοιτάξτε!,1,Κοιτάξτε!,1,Κοιτάξτε!,1,Κοιτάξτε!,1,Κοιτάξτε!,1,Κοιτάξτε!,1,Κοιτάξτε!,1,Κοιτάξτε!,1
46,Ελάτε εδώ!,Ελάτε εδώ! Ελάτε εδώ!,0,Ελάτε εδώ! Ελάτε εδώ!,0,Ελάτε εδώ!,1,Ελάτε εδώ!,1,Ελάτε εδώ!,1,Ελάτε εδώ!,1,Ελάτε εδώ!,1,Ελάτε εδώ!,1,Ελάτε εδώ!,1,Ελάτε εδώ!,1,Ελάτε εδώ!,1,Έλα εδώ!,0,Ελάτε εδώ!,1,Ελάτε εδώ!,1,Έλα εδώ!,0,Ελάτε εδώ!,1
47,Είναι εξαιρετικές μηχανικές.,Είναι εξαιρετικοί μηχανικοί.,0,Είναι σπουδαίοι μηχανικοί.,0,Είναι επιλεγμένοι μηχανικοί.,0,Είναι εξαιρετικές μηχανικές.,1,Είναι εξαιρετικές μηχανικές.,1,Είναι εξαιρετικοί μηχανικοί.,0,Είναι εξαιρετικές μηχανικές.,1,Εξαιρετικοί μηχανικοί.,0,Είναι εξαιρετικοί μηχανικοί.,0,Είναι εξαιρετικοί μηχανικοί.,0,Είναι εξαιρετικοί μηχανικοί.,0,Είναι εξαιρετικοί μηχανικοί.,0,Είναι εξαιρετικοί μηχανικοί.,0,Είναι εξαιρετικές μηχανικές.,1,Είναι μια εξαιρετική γυναίκα μηχανικός.,0,Είναι οι καλύτεροι μηχανικοί.,0
48,Είναι εξειδικευμένες προγραμματιστές.,Είναι ειδικοί προγραμματιστές.,0,Είναι ειδικοί στον προγραμματισμό.,0,Είναι ειδικοί προγραμματιστές.,0,Είναι εξειδικευμένες προγραμματιστές.,1,Είναι έμπειρες προγραμματιστές.,0,Είναι έμπειροι προγραμματιστές.,0,Είναι έμπειρες προγραμματιστές.,0,Έμπειροι προγραμματιστές.,0,Είναι έμπειρες προγραμματιστές.,0,Είναι έμπειροι προγραμματιστές.,0,Είναι πολύ έμπειροι προγραμματιστές.,0,Είναι πολύ έμπειροι προγραμματιστές.,0,Είναι έμπειρες προγραμματιστές.,0,Είναι έμπειρες προγραμματιστές.,0,Είναι έμπειρες γυναίκες προγραμματιστές.,0,Είναι έμπειροι προγραμματιστές.,0
49,Εσύ είσαι καλά.,Είσαι μια χαρά.,0,Είσαι μια χαρά.,0,Είσαι μια χαρά.,0,Είσαι μια χαρά.,0,Είσαι μια χαρά.,0,Είσαι μια χαρά.,0,Είσαι μια χαρά.,0,Είσαι μια χαρά.,0,Είσαι μια χαρά.,0,Είσαι μια χαρά.,0,Είσαι καλά;,0,Είσαι καλά;,0,Είσαι μια χαρά.,0,- Είσαι μια χαρά.,0,Είσαι εντάξει.,0,Έχεις δίκιο.,0
50,Εσείς είστε καλά.,Είσαι μια χαρά.,0,Είστε μια χαρά.,0,Είσαι μια χαρά.,0,Είσαι μια χαρά.,0,Είναι εντάξει.,0,Είσαι μια χαρά.,0,Είστε εντάξει.,0,Είναι εντάξει.,0,Να είστε καλά.,0,Είσαι καλά.,0,Είστε καλά;,0,Είσαι καλά;,0,Είστε μια χαρά.,0,Είστε μια χαρά.,0,Είσαι καλά.,0,Έχετε δίκιο.,0
51,Είστε πολύ καλοί.,Είσαι πολύ καλός.,0,Είστε πολύ καλοί.,1,Είστε πολύ καλοί.,1,Είστε πολύ καλοί.,1,Είστε πολύ καλοί.,1,Είστε πολύ καλοί.,1,Είστε πολύ καλοί.,1,Είστε πολύ καλοί.,1,Είστε πολύ καλοί.,1,Είστε πολύ καλοί.,1,Καλώς ήρθατε.,0,Είναι πολύ καλό.,0,Είστε πολύ καλοί.,1,Είστε πολύ καλοί.,1,Είσαι πολύ καλή.,0,Είστε πολύ καλοί.,1
52,Είστε πολύ καλοί.,Είσαι πολύ καλός.,0,Είστε πολύ καλοί.,1,Είστε πολύ καλοί.,1,Είστε πολύ καλοί.,1,Είστε πολύ καλοί.,1,Είστε πολύ καλοί.,1,Είστε πολύ καλοί.,1,Είστε πολύ καλοί.,1,Είστε πολύ καλοί.,1,Είστε πολύ καλοί.,1,Καλώς ήρθατε.,0,Είναι πολύ καλό.,0,Είστε πολύ καλοί.,1,Είστε πολύ καλοί.,1,Είσαι πολύ καλός.,0,Είστε πολύ καλοί.,1
53,Αυτό το βιβλίο είναι δικό σου.,Αυτό το βιβλίο είναι δικό σου.,1,Αυτό το βιβλίο είναι δικό σου.,1,Αυτό το βιβλίο είναι δικό σου.,1,Αυτό το βιβλίο είναι δικό σου.,1,Αυτό το βιβλίο είναι δικό σου.,1,Αυτό το βιβλίο είναι δικό σου.,1,Αυτό το βιβλίο είναι δικό σου.,1,Αυτό το βιβλίο είναι δικό σου.,1,Αυτό το βιβλίο είναι δικό σου.,1,Αυτό το βιβλίο είναι δικό σου.,1,Το βιβλίο είναι δικό σου.,0,Αυτό το βιβλίο είναι δικό σου.,1,Αυτό το βιβλίο είναι για σένα.,0,Αυτό το βιβλίο είναι δικό σου.,1,Αυτό το βιβλίο είναι δικό σου.,1,Αυτό το βιβλίο είναι δικό σου.,1
54,Αυτό το βιβλίο είναι δικό του.,Αυτό το βιβλίο είναι δικό σου.,0,Αυτό το βιβλίο είναι δικό σας.,0,Αυτό το βιβλίο είναι δικό σου.,0,Αυτό το βιβλίο είναι δικό σου.,0,Αυτό το βιβλίο είναι δικό σου.,0,Αυτό το βιβλίο είναι δικό σου.,0,Αυτό το βιβλίο είναι δικό σας.,0,Αυτό το βιβλίο είναι δικό σας.,0,Αυτό το βιβλίο είναι δικό σου.,0,Αυτό το βιβλίο είναι δικό σου.,0,Το βιβλίο είναι δικό σας.,0,Αυτό το βιβλίο είναι δικό σας.,0,Αυτό το βιβλίο είναι για σένα.,0,Αυτό το βιβλίο είναι δικό σας.,0,Αυτό το βιβλίο είναι δικό σου.,0,Αυτό το βιβλίο είναι για σας.,0
55,Ήταν όλοι εκεί.,Όλοι ήταν εκεί.,0,Όλοι ήταν εκεί.,0,Όλοι ήταν εκεί.,0,Όλες ήταν εκεί.,0,Όλοι ήταν εκεί.,0,Όλοι ήταν εκεί.,0,Ήταν όλοι εκεί.,1,Όλοι ήταν εκεί.,0,Όλοι ήταν εκεί.,0,Ήταν όλα εκεί.,0,Όλοι είναι εκεί.,0,Όλοι ήταν εκεί.,0,Να είναι όλοι εκεί.,0,Ήταν όλοι εκεί.,1,Όλοι ήταν εκεί.,0,Όλοι ήταν εκεί.,0
56,Όλοι ήταν εκεί.,Όλοι ήταν εκεί.,1,Όλοι ήταν εκεί.,1,Όλοι ήταν εκεί.,1,Όλοι ήταν εκεί.,1,Όλοι ήταν εκεί.,1,Όλοι ήταν εκεί.,1,Όλοι ήταν εκεί.,1,Όλοι ήταν εκεί.,1,Όλοι ήταν εκεί.,1,Όλοι ήταν εκεί.,1,Όλοι είναι εκεί.,0,Όλοι ήταν εκεί.,1,Ήταν όλοι εκεί.,0,Όλοι ήταν εκεί.,1,Όλοι ήταν εκεί.,1,Όλοι ήταν εκεί.,1
