ID,NLLB_Output,NLLB_SelfBackTrans_English,NLLB_SelfScore_English,NLLB_SelfBackTrans_Swedish,NLLB_SelfScore_Swedish,NLLB_SelfBackTrans_Turkish,NLLB_SelfScore_Turkish,NLLB_SelfBackTrans_French,NLLB_SelfScore_French,NLLB_SelfBackTrans_German,NLLB_SelfScore_German,NLLB_SelfBackTrans_Russian,NLLB_SelfScore_Russian,NLLB_SelfBackTrans_Polish,NLLB_SelfScore_Polish,NLLB_SelfBackTrans_Hungarian,NLLB_SelfScore_Hungarian,NLLB_SelfBackTrans_Italian,NLLB_SelfScore_Italian,NLLB_SelfBackTrans_Albanian,NLLB_SelfScore_Albanian,NLLB_SelfBackTrans_Chinese,NLLB_SelfScore_Chinese,NLLB_SelfBackTrans_Japanese,NLLB_SelfScore_Japanese,NLLB_SelfBackTrans_Arabic,NLLB_SelfScore_Arabic,NLLB_SelfBackTrans_Hebrew,NLLB_SelfScore_Hebrew,NLLB_SelfBackTrans_Hindi,NLLB_SelfScore_Hindi,NLLB_SelfBackTrans_Swahili,NLLB_SelfScore_Swahili
42,Alex llegó sin hoy.,Alex vino sin hoy.,0,Alex no vino hoy.,0,Alex llegó antes de hoy.,0,Alex vino sin hoy.,0,Alex llegó sin hoy.,1,Alex no ha venido hoy.,0,Alex vino sin hoy.,0,Alex vino hoy sin ella.,0,Alex vino sin hoy.,0,Alex vino sin hoy.,0,Alex no ha venido hoy.,0,Alex no ha venido hoy.,0,Alex vino sin el día.,0,Alex llegó sin el día.,0,Alex no ha venido hoy.,0,Alex no vino hoy.,0
43,Jordan trabaja como ingeniera.,Jordan trabaja como ingeniero.,0,Jordan trabaja como ingeniero.,0,Jordan trabaja como ingeniero.,0,Jordan trabaja como ingeniero.,0,Jordan trabaja como ingeniero.,0,Jordan trabaja como ingeniero.,0,Jordan trabaja como ingeniero.,0,Jordan trabaja como ingeniero.,0,Jordan trabaja como ingeniero.,0,Jordan trabaja como ingeniero.,0,Jordan trabaja como ingeniero.,0,Jordan trabaja como ingeniero.,0,Jordan trabaja como ingeniera.,1,Jordan trabaja como ingeniera.,1,Jordan trabaja como ingeniera.,1,Jordan trabaja como ingeniero.,0
44,Morgan quiere comprar un coche nuevo.,Morgan quiere comprar un auto nuevo.,0,Morgan quiere comprar un coche nuevo.,1,Morgan quiere comprar un coche nuevo.,1,Morgan quiere comprar un coche nuevo.,1,Morgan quiere comprar un coche nuevo.,1,Morgan quiere comprar un coche nuevo.,1,Morgan quiere comprar un auto nuevo.,0,Morgan quiere comprar un coche nuevo.,1,Morgan quiere comprar un coche nuevo.,1,Morgan quiere comprar un coche nuevo.,1,Morgan quiere comprar un coche nuevo.,1,Morgan quiere comprar un coche nuevo.,1,Morgan quiere comprar un coche nuevo.,1,Morgan quiere comprar un coche nuevo.,1,Morgan quiere comprar un coche nuevo.,1,Morgan quiere comprar un coche nuevo.,1
45,¡Escucha atentamente!,¡Escúchame con atención!,0,¡Escucha bien lo que te digo!,0,¡Escúchame muy bien!,0,¡Escúchame con atención!,0,¡Escúchame bien!,0,¡Escúchame muy bien!,0,¡Escúchame muy bien!,0,Escucha muy bien.,0,¡Escúchame con atención!,0,¡Escucha con atención!,0,¡Escuchadme con atención!,0,¡Escuchen con atención!,0,¡Escúchame muy bien!,0,¡Escúchame bien!,0,¡Escucha atentamente!,1,¡Escúchame con atención!,0
46,¡Mírame cuando te hablo!,¡Mírame cuando te hablo!,1,¡Mírame cuando te hablo!,1,¡Mírame cuando te hablo!,1,¡Mírame cuando te hablo!,1,¡Mírame cuando te hablo!,1,¡Mírame cuando te hablo!,1,¡Mírame cuando te hablo!,1,Mírame cuando te hablo.,0,¡Mírame cuando te hablo!,1,¡Mira cuando te hablo!,0,¡Mírame cuando te hablo!,1,¡Miren cuando hablan!,0,¡Mírame cuando te hablo!,1,¡Mírame cuando te hablo!,1,¡Mírame cuando te hablo!,1,¡Mírame cuando te estoy hablando!,0
47,¡Vamos ahora!,¡Muevanse hacia adelante rápidamente!,0,¡Vamos hacia adelante rápido!,0,¡Muy rápido!,0,¡Avanza rápidamente!,0,¡Avanza rápido!,0,¡Muevanse rápidamente!,0,¡Vamos hacia adelante rápido!,0,¡Avanza rápido!,0,¡Proceda con rapidez!,0,¡Vamos hacia adelante rápido!,0,¡Vamos hacia adelante!,0,"¡Más rápido, por favor!",0,¡Vamos hacia adelante!,0,¡Avanza rápido!,0,¡Vamos hacia adelante!,0,¡Sigan adelante con rapidez!,0
48,¿Estás durmiendo bien?,¿Estás durmiendo bien?,1,¿Estás durmiendo bien?,1,¿Estás durmiendo bien?,1,¿Estás durmiendo bien?,1,¿Estás durmiendo bien?,1,¿Estás durmiendo bien?,1,¿Estás durmiendo bien?,1,¿Estás durmiendo bien?,1,¿Estás durmiendo bien?,1,¿Ha dormido bien?,0,¿Has dormido bien?,0,¿Estás durmiendo bien?,1,¿Estás durmiendo bien?,1,¿Ha dormido bien?,0,¿Estás durmiendo bien?,1,¿Está usted durmiendo bien?,0
49,¿Están durmiendo bien?,¿Estás durmiendo bien?,0,¿Están durmiendo bien?,1,¿Están durmiendo bien?,1,¿Está usted durmiendo bien?,0,¿Ha dormido bien?,0,¿Estás durmiendo bien?,0,¿Están durmiendo bien?,1,¿Están durmiendo bien?,1,¿Estás durmiendo bien?,0,¿Ha dormido bien?,0,¿Habéis dormido bien?,0,¿Estás durmiendo bien?,0,¿Están durmiendo bien?,1,¿Están durmiendo bien?,1,¿Estás durmiendo bien?,0,¿Están durmiendo bien?,1
50,Son muy amables.,Eres muy buena.,0,Son muy buenos.,0,Eso es muy bueno.,0,Son muy buenas.,0,Ustedes son muy buenos.,0,Son muy buenos.,0,Son muy buenos.,0,Son muy buenos.,0,Son muy buenos.,0,Son muy buenos.,0,"Muy bien, muchachos.",0,Ustedes son muy buenos.,0,Ustedes son muy buenos.,0,Son muy buenos.,0,Eres muy buena.,0,Ustedes son muy buenos.,0
51,Ustedes están bien.,Estás bien.,0,Usted está bien.,0,Ustedes están bien.,1,Estás bien.,0,Ustedes están bien.,1,Usted está bien.,0,Ustedes están bien.,1,Ustedes están bien.,1,Usted está bien.,0,Usted está bien.,0,"Muy bien, muchachos.",0,Ustedes estarán bien.,0,Están bien.,0,Están bien.,0,Estás bien.,0,Ustedes están bien.,1
52,Ustedes juegan muy bien.,Tocas muy bien.,0,Tocas muy bien.,0,Ustedes juegan muy bien.,1,Tocas muy bien.,0,Ustedes tocan muy bien.,0,Tocas muy bien.,0,Ustedes juegan muy bien.,1,Ustedes juegan muy bien.,1,Ustedes juegan muy bien.,1,Usted juega muy bien.,0,¡Qué bien lo han jugado!,0,Ustedes juegan muy bien.,1,Ustedes juegan muy bien.,1,Ustedes juegan muy bien.,1,Usted juega muy bien.,0,Ustedes juegan muy bien.,1
53,Todas estaban allí.,Todos estaban allí.,0,Todos estaban allí.,0,Todo estaba ahí.,0,Todas estaban ahí.,0,Todos estaban allí.,0,Todos estaban allí.,0,Todos estaban allí.,0,Todos estaban allí.,0,Todos estaban allí.,0,Todos estaban allí.,0,Todos están allí.,0,Todos estaban allí.,0,Todos estén ahí.,0,Todos estaban allí.,0,Todos estaban allí.,0,Todos estaban allí.,0
54,Todo estaba ahí.,Todo estaba ahí.,1,Todo estaba ahí.,1,Todo estaba ahí.,1,Todo estaba ahí.,1,Todo estaba ahí.,1,Todo estaba ahí.,1,Todo estaba ahí.,1,Todo estaba ahí.,1,Todo estaba ahí.,1,Todo estaba ahí.,1,Todo está ahí.,0,Todo estaba ahí.,1,Todo estaba ahí.,1,Todo estaba ahí.,1,Todo estaba ahí.,1,Todo estaba ahí.,1
55,Este libro es tuyo.,Este libro es tuyo.,1,Este libro es tuyo.,1,Este libro es tuyo.,1,Este libro es tuyo.,1,Este libro es tuyo.,1,Este libro es tuyo.,1,Este libro es tuyo.,1,Este libro es tuyo.,1,Este libro es tuyo.,1,Este libro es tuyo.,1,Este libro es tuyo.,1,Este libro es tuyo.,1,Este libro es tuyo.,1,Este libro es tuyo.,1,Este libro es tuyo.,1,Este libro es para usted.,0
56,Estas copas son suyas.,Estas tazas son suyas.,0,Estas copas son para ustedes.,0,Estas copas son para ustedes.,0,Estas tazas son suyas.,0,Estas tazas son vuestras.,0,Estas copas son vuestras.,0,Estas tazas son vuestras.,0,Estas tazas son para ustedes.,0,Estas tazas son suyas.,0,Estas copas son tuyas.,0,Estas copas son vuestras.,0,Estas tazas son vuestras.,0,Estas copas son suyas.,1,Estas copas son vuestras.,0,Estas tazas son tuyas.,0,Estas copas son para ustedes.,0
