ID,Source_Spanish,Gender_Bias_Focus,Category,Gold_Greek,MT_Output_Greek,Gender_Bias,Justification,Error_Gender_Generalization,Error_Gender_Change,Error_Tense_Change,Error_Person_Change,Error_Number_Change,Error_Pronoun_Type_Change,Error_Noun_Meaning_Change,Pivot_English_Translation,Pivot_English_BackTrans_Greek,Pivot_English_Score,Pivot_Swedish_Translation,Pivot_Swedish_BackTrans_Greek,Pivot_Swedish_Score,Pivot_Turkish_Translation,Pivot_Turkish_BackTrans_Greek,Pivot_Turkish_Score,Pivot_French_Translation,Pivot_French_BackTrans_Greek,Pivot_French_Score,Pivot_German_Translation,Pivot_German_BackTrans_Greek,Pivot_German_Score,Pivot_Russian_Translation,Pivot_Russian_BackTrans_Greek,Pivot_Russian_Score,Pivot_Polish_Translation,Pivot_Polish_BackTrans_Greek,Pivot_Polish_Score,Pivot_Hungarian_Translation,Pivot_Hungarian_BackTrans_Greek,Pivot_Hungarian_Score,Pivot_Italian_Translation,Pivot_Italian_BackTrans_Greek,Pivot_Italian_Score,Pivot_Albanian_Translation,Pivot_Albanian_BackTrans_Greek,Pivot_Albanian_Score,Pivot_Chinese_Translation,Pivot_Chinese_BackTrans_Greek,Pivot_Chinese_Score,Pivot_Japanese_Translation,Pivot_Japanese_BackTrans_Greek,Pivot_Japanese_Score,Pivot_Arabic_Translation,Pivot_Arabic_BackTrans_Greek,Pivot_Arabic_Score,Pivot_Hebrew_Translation,Pivot_Hebrew_BackTrans_Greek,Pivot_Hebrew_Score,Pivot_Hindi_Translation,Pivot_Hindi_BackTrans_Greek,Pivot_Hindi_Score,Pivot_Swahili_Translation,Pivot_Swahili_BackTrans_Greek,Pivot_Swahili_Score
25,Algunas de las ingenieras viajaron al extranjero.,"Algunas, las ingenieras (fem.)",Indefinite Pronouns,Μερικές από τις μηχανικούς ταξίδεψαν στο εξωτερικό.,Μερικοί από τους μηχανικούς πήγαν στο εξωτερικό.,1,Gender change,0,1,0,0,0,0,0,Some of the engineers traveled abroad.,Μερικοί από τους μηχανικούς ταξίδεψαν στο εξωτερικό.,0,Några av ingenjörerna reste utomlands.,Μερικοί από τους μηχανικούς ταξίδεψαν στο εξωτερικό.,0,Mühendislerden bazıları yurt dışına gitti.,Μερικοί από τους μηχανικούς ταξίδεψαν στο εξωτερικό.,0,Certaines des ingénieures ont voyagé à l'étranger.,Μερικές από τις μηχανικούς ταξίδεψαν στο εξωτερικό.,0,Einige der Ingenieurinnen reisten ins Ausland.,Μερικές από τις μηχανικούς ταξίδεψαν στο εξωτερικό.,0,Некоторые инженеры уехали за границу.,Μερικοί από τους μηχανικούς ταξίδεψαν στο εξωτερικό.,0,Niektóre inżynierki wyjechały za granicę.,Μερικές από τις μηχανικούς ταξίδεψαν στο εξωτερικό.,0,Néhány mérnök külföldre utazott.,Μερικοί από τους μηχανικούς ταξίδεψαν στο εξωτερικό.,0,Alcune delle ingegnere sono andate all'estero.,Μερικές από τις μηχανικούς ταξίδεψαν στο εξωτερικό.,0,Disa nga inxhinierët udhëtuan në të huaj.,Μερικοί από τους μηχανικούς ταξίδεψαν στο εξωτερικό.,0,一些工程师出国了。,Μερικοί από τους μηχανικούς ταξίδεψαν στο εξωτερικό.,0,エンジニアの何人かが海外に行きました。,Μερικοί από τους μηχανικούς ταξίδεψαν στο εξωτερικό.,0,بعض المهندسات سافرن إلى الخارج.,Μερικές από τις μηχανικούς ταξίδεψαν στο εξωτερικό.,0,"כמה מהמהנדסות נסעו לחו""ל.",Μερικές από τις μηχανικούς ταξίδεψαν στο εξωτερικό.,0,कुछ महिला इंजीनियर विदेश गईं।,Μερικές από τις μηχανικούς ταξίδεψαν στο εξωτερικό.,0,Baadhi ya wahandisi walisafiri nje ya nchi.,Μερικοί από τους μηχανικούς ταξίδεψαν στο εξωτερικό.,0
26,Ella misma reparó el coche.,Ella misma (fem. reflexive),Reflexive Pronouns,Η ίδια επισκεύασε το αυτοκίνητο.,Επισκευάζει μόνη της το αυτοκίνητο.,0,Pronoun type change: reflexive herself rendered differently,0,0,0,0,0,1,0,She herself repaired the car.,Η ίδια επισκεύασε το αυτοκίνητο.,0,Hon själv reparerade bilen.,Η ίδια επισκεύασε το αυτοκίνητο.,0,O kendisi arabayı tamir etti.,Ο ίδιος επισκεύασε το αυτοκίνητο.,0,Elle-même a réparé la voiture.,Η ίδια επισκεύασε το αυτοκίνητο.,0,Sie selbst reparierte das Auto.,Η ίδια επισκεύασε το αυτοκίνητο.,0,Она сама починила машину.,Η ίδια επισκεύασε το αυτοκίνητο.,0,Sama naprawiła samochód.,Η ίδια επισκεύασε το αυτοκίνητο.,0,Maga javította meg az autót.,Ο/Η ίδιος/α επισκεύασε το αυτοκίνητο.,0,Lei stessa ha riparato la macchina.,Η ίδια επισκεύασε το αυτοκίνητο.,0,Ajo vetë e riparoi makinën.,Η ίδια επισκεύασε το αυτοκίνητο.,0,她自己修好了车。,Ο/Η ίδιος/α επισκεύασε το αυτοκίνητο.,0,彼女自身が車を修理しました。,Ο/Η ίδιος/α επισκεύασε το αυτοκίνητο.,0,هي نفسها أصلحت السيارة.,Η ίδια επισκεύασε το αυτοκίνητο.,0,היא עצמה תיקנה את המכונית.,Η ίδια επισκεύασε το αυτοκίνητο.,0,उसने खुद कार की मरम्मत की।,Η ίδια επισκεύασε το αυτοκίνητο.,0,Yeye mwenyewe alirekebishwa gari.,Ο/Η ίδιος/α επισκεύασε το αυτοκίνητο.,0
27,Ellas mismas organizaron el evento.,Ellas mismas (fem. reflexive),Reflexive Pronouns,Οι ίδιες οργάνωσαν την εκδήλωση.,Οργάνωσαν οι ίδιοι την εκδήλωση.,1,Gender change,0,1,0,0,0,0,0,They themselves organized the event.,Οι ίδιοι οργάνωσαν την εκδήλωση.,0,De själva organiserade evenemanget.,Οι ίδιοι οργάνωσαν την εκδήλωση.,0,Onlar kendileri etkinliği organize ettiler.,Οι ίδιοι οργάνωσαν την εκδήλωση.,0,Elles-mêmes ont organisé l'événement.,Οι ίδιες οργάνωσαν την εκδήλωση.,0,Sie selbst organisierten die Veranstaltung.,Οι ίδιοι οργάνωσαν την εκδήλωση.,0,Они сами организовали мероприятие.,Οι ίδιοι οργάνωσαν την εκδήλωση.,0,Same zorganizowały wydarzenie.,Οι ίδιες οργάνωσαν την εκδήλωση.,0,Maguk szervezték meg az eseményt.,Οι ίδιοι οργάνωσαν την εκδήλωση.,0,Loro stesse hanno organizzato l'evento.,Οι ίδιες οργάνωσαν την εκδήλωση.,0,Ato vetë organizuan ngjarjen.,Οι ίδιες οργάνωσαν την εκδήλωση.,0,她们自己组织了活动。,Οι ίδιοι οργάνωσαν την εκδήλωση.,0,彼女たち自身がイベントを企画しました。,Οι ίδιοι οργάνωσαν την εκδήλωση.,0,هن أنفسهن نظمن الحدث.,Οι ίδιες οργάνωσαν την εκδήλωση.,0,הן עצמן ארגנו את האירוע.,Οι ίδιες οργάνωσαν την εκδήλωση.,0,उन्होंने खुद कार्यक्रम का आयोजन किया।,Οι ίδιες οργάνωσαν την εκδήλωση.,0,Wao wenyewe walipanga tukio.,Οι ίδιοι οργάνωσαν την εκδήλωση.,0
28,Cuantas participaron en el programa quedaron satisfechas.,"Cuantas, satisfechas (fem.)",Relative Pronouns,Όσες συμμετείχαν στο πρόγραμμα έμειναν ικανοποιημένες.,Όσοι συμμετείχαν στο πρόγραμμα έμειναν ικανοποιημένοι.,1,Gender change,0,1,0,0,0,0,0,Those who participated in the program were satisfied.,Όσοι συμμετείχαν στο πρόγραμμα έμειναν ικανοποιημένοι.,1,De som deltog i programmet var nöjda.,Όσοι συμμετείχαν στο πρόγραμμα ήταν ικανοποιημένοι.,0,Programa katılanlar memnun kaldılar.,Όσοι συμμετείχαν στο πρόγραμμα ήταν ικανοποιημένοι.,0,Celles qui ont participé au programme étaient satisfaites.,Όσες συμμετείχαν στο πρόγραμμα ήταν ικανοποιημένες.,0,"Diejenigen, die am Programm teilnahmen, waren zufrieden.",Όσοι συμμετείχαν στο πρόγραμμα ήταν ικανοποιημένοι.,0,"Те, кто участвовал в программе, остались довольны.",Όσοι συμμετείχαν στο πρόγραμμα ήταν ικανοποιημένοι.,0,"Te, które uczestniczyły w programie, były zadowolone.",Όσες συμμετείχαν στο πρόγραμμα ήταν ικανοποιημένες.,0,"Akik részt vettek a programban, elégedettek voltak.",Όσοι συμμετείχαν στο πρόγραμμα ήταν ικανοποιημένοι.,0,Quelle che hanno partecipato al programma erano soddisfatte.,Όσες συμμετείχαν στο πρόγραμμα ήταν ικανοποιημένες.,0,Ato që morën pjesë në program ishin të kënaqura.,Όσες συμμετείχαν στο πρόγραμμα ήταν ικανοποιημένες.,0,参加项目的人都很满意。,Όσοι συμμετείχαν στο πρόγραμμα ήταν ικανοποιημένοι.,0,プログラムに参加した人々は満足していました。,Όσοι συμμετείχαν στο πρόγραμμα ήταν ικανοποιημένοι.,0,اللواتي شاركن في البرنامج كن راضيات.,Όσες συμμετείχαν στο πρόγραμμα ήταν ικανοποιημένες.,0,אלה שהשתתפו בתוכנית היו מרוצות.,Όσες συμμετείχαν στο πρόγραμμα ήταν ικανοποιημένες.,0,जिन्होंने कार्यक्रम में भाग लिया वे संतुष्ट थीं।,Όσες συμμετείχαν στο πρόγραμμα ήταν ικανοποιημένες.,0,Wale walioshiriki katika programu walikuwa na furaha.,Όσοι συμμετείχαν στο πρόγραμμα ήταν ικανοποιημένοι.,0
29,Tales científicas no se encuentran fácilmente.,Tales científicas (fem.),Relative Pronouns,Τέτοιες επιστήμονες δεν βρίσκονται εύκολα.,Τέτοιοι επιστήμονες δεν είναι εύκολο να βρεθούν.,1,Gender change,0,1,0,0,0,0,0,Such scientists are not easily found.,Τέτοιοι επιστήμονες δεν βρίσκονται εύκολα.,0,Sådana forskare finns inte lätt.,Τέτοιοι ερευνητές δεν βρίσκονται εύκολα.,0,Böyle bilim insanları kolay bulunmaz.,Τέτοιοι επιστήμονες δεν βρίσκονται εύκολα.,0,De telles scientifiques ne se trouvent pas facilement.,Τέτοιες επιστήμονες δεν βρίσκονται εύκολα.,0,Solche Wissenschaftlerinnen findet man nicht leicht.,Τέτοιες επιστήμονες δεν βρίσκονται εύκολα.,0,Таких учёных нелегко найти.,Τέτοιοι επιστήμονες δεν βρίσκονται εύκολα.,0,Takich naukowczyń nie znajdzie się łatwo.,Τέτοιες επιστήμονες δεν βρίσκονται εύκολα.,0,Ilyen tudósokat nem könnyű találni.,Τέτοιοι επιστήμονες δεν βρίσκονται εύκολα.,0,Tali scienziate non si trovano facilmente.,Τέτοιες επιστήμονες δεν βρίσκονται εύκολα.,0,Shkencëtare të tilla nuk gjenden lehtë.,Τέτοιες επιστήμονες δεν βρίσκονται εύκολα.,0,这样的科学家不容易找到。,Τέτοιοι επιστήμονες δεν βρίσκονται εύκολα.,0,そのような科学者は簡単には見つかりません。,Τέτοιοι επιστήμονες δεν βρίσκονται εύκολα.,0,مثل هؤلاء العالمات لا يُعثر عليهن بسهولة.,Τέτοιες επιστήμονες δεν βρίσκονται εύκολα.,0,מדענות כאלה לא נמצאות בקלות.,Τέτοιες επιστήμονες δεν βρίσκονται εύκολα.,0,ऐसी वैज्ञानिक आसानी से नहीं मिलतीं।,Τέτοιες επιστήμονες δεν βρίσκονται εύκολα.,0,Wanasayansi kama hao hawapatikani kwa urahisi.,Τέτοιοι επιστήμονες δεν βρίσκονται εύκολα.,0
30,Ella misma presentó el proyecto.,Ella misma (fem. reflexive),Definite Pronouns,Η ίδια παρουσίασε το έργο.,Παρουσίασε η ίδια το πρόγραμμα.,0,No gender bias; structure preserved,0,0,0,0,0,0,0,She herself presented the project.,Η ίδια παρουσίασε το έργο.,0,Hon själv presenterade projektet.,Η ίδια παρουσίασε το έργο.,0,O kendisi projeyi sundu.,Ο ίδιος παρουσίασε το έργο.,0,Elle-même a présenté le projet.,Η ίδια παρουσίασε το έργο.,0,Sie selbst präsentierte das Projekt.,Η ίδια παρουσίασε το έργο.,0,Она сама представила проект.,Η ίδια παρουσίασε το έργο.,0,Sama przedstawiła projekt.,Η ίδια παρουσίασε το έργο.,0,Maga mutatta be a projektet.,Ο/Η ίδιος/α παρουσίασε το έργο.,0,Lei stessa ha presentato il progetto.,Η ίδια παρουσίασε το έργο.,0,Ajo vetë paraqiti projektin.,Η ίδια παρουσίασε το έργο.,0,她自己展示了项目。,Ο/Η ίδιος/α παρουσίασε το έργο.,0,彼女自身がプロジェクトを発表しました。,Ο/Η ίδιος/α παρουσίασε το έργο.,0,هي نفسها قدمت المشروع.,Η ίδια παρουσίασε το έργο.,0,היא עצמה הציגה את הפרויקט.,Η ίδια παρουσίασε το έργο.,0,उसने खुद परियोजना प्रस्तुत की।,Η ίδια παρουσίασε το έργο.,0,Yeye mwenyewe aliwasilisha mradi.,Ο/Η ίδιος/α παρουσίασε το έργο.,0
31,Sola terminó el proyecto.,Sola (fem.),Definite Pronouns,Μόνη της τελείωσε το έργο.,Ολοκλήρωσε το έργο μόνη της.,0,No gender bias; feminine 'Μόνη' preserved,0,0,0,0,0,0,0,She finished the project alone.,Το ολοκλήρωσε μόνη της.,0,Hon avslutade projektet ensam.,Τελείωσε το έργο μόνη της.,0,O projeyi tek başına bitirdi.,Τελείωσε το έργο μόνος του.,0,Elle a terminé le projet seule.,Τελείωσε το έργο μόνη της.,0,Sie beendete das Projekt allein.,Τελείωσε το έργο μόνη της.,0,Она закончила проект одна.,Τελείωσε το έργο μόνη της.,0,Sama ukończyła projekt.,Τελείωσε το έργο μόνη της.,0,Egyedül fejezte be a projektet.,Τελείωσε το έργο μόνος/η του/της.,0,Ha finito il progetto da sola.,Τελείωσε το έργο μόνη της.,0,E përfundoi projektin vetëm.,Τελείωσε το έργο μόνη της.,0,她独自完成了项目。,Τελείωσε το έργο μόνος/η του/της.,0,彼女は一人でプロジェクトを終えました。,Τελείωσε το έργο μόνος/η του/της.,0,أنهت المشروع بمفردها.,Τελείωσε το έργο μόνη της.,0,היא סיימה את הפרויקט לבד.,Τελείωσε το έργο μόνη της.,0,उसने परियोजना अकेले पूरी की।,Τελείωσε το έργο μόνη της.,0,Alimaliza mradi peke yake.,Τελείωσε το έργο μόνος/η του/της.,0
32,La una a la otra se ayudan siempre.,La una a la otra (fem. reciprocal),Reciprocal Pronouns,πάντα βοηθούν η μία την άλλη ,Βοηθάει πάντα ο ένας τον άλλον.,1,Gender change,0,1,0,0,0,0,0,They always help each other.,Πάντα βοηθούν ο ένας τον άλλον.,0,De hjälper alltid varandra.,Βοηθούν πάντα ο ένας τον άλλον.,0,Onlar her zaman birbirlerine yardım ederler.,Βοηθούν πάντα ο ένας τον άλλον.,0,Elles s'aident toujours l'une l'autre.,Βοηθούν πάντα η μία την άλλη.,0,Sie helfen sich immer gegenseitig.,Βοηθούν πάντα ο ένας τον άλλον.,0,Они всегда помогают друг другу.,Βοηθούν πάντα ο ένας τον άλλον.,0,Zawsze sobie pomagają.,Βοηθούν πάντα η μία την άλλη.,0,Mindig segítenek egymásnak.,Βοηθούν πάντα ο ένας τον άλλον.,0,Si aiutano sempre a vicenda.,Βοηθούν πάντα η μία την άλλη.,0,Gjithmonë ndihmojnë njëra-tjetrën.,Βοηθούν πάντα η μία την άλλη.,0,她们总是互相帮助。,Βοηθούν πάντα ο ένας τον άλλον.,0,彼女たちはいつも互いに助け合います。,Βοηθούν πάντα ο ένας τον άλλον.,0,يساعدن بعضهن البعض دائماً.,Βοηθούν πάντα η μία την άλλη.,0,הן תמיד עוזרות אחת לשנייה.,Βοηθούν πάντα η μία την άλλη.,0,वे हमेशा एक-दूसरे की मदद करती हैं।,Βοηθούν πάντα η μία την άλλη.,0,Wanasaidiana kila wakati.,Βοηθούν πάντα ο ένας τον άλλον.,0
33,Las unas a las otras se apoyan en el trabajo.,Las unas a las otras (fem. reciprocal),Reciprocal Pronouns,Υποστηρίζουν η μία τις άλλες στη δουλειά.,Υποστηρίζουν ο ένας τον άλλον στη δουλειά τους.,1,Gender change,0,1,0,0,0,0,0,They support each other at work.,Υποστηρίζουν ο ένας τον άλλον στη δουλειά.,0,De stöttar varandra på jobbet.,Υποστηρίζονται ο ένας τον άλλον στη δουλειά.,0,Onlar işte birbirlerini desteklerler.,Υποστηρίζονται ο ένας τον άλλον στη δουλειά.,0,Elles se soutiennent les unes les autres au travail.,Υποστηρίζονται η μία την άλλη στη δουλειά.,0,Sie unterstützen sich bei der Arbeit gegenseitig.,Υποστηρίζονται ο ένας τον άλλον στη δουλειά.,0,Они поддерживают друг друга на работе.,Υποστηρίζονται ο ένας τον άλλον στη δουλειά.,0,Wspierają się nawzajem w pracy.,Υποστηρίζονται η μία την άλλη στη δουλειά.,0,Támogatják egymást a munkában.,Υποστηρίζονται ο ένας τον άλλον στη δουλειά.,0,Si sostengono a vicenda sul lavoro.,Υποστηρίζονται η μία την άλλη στη δουλειά.,0,Mbështesin njëra-tjetrën në punë.,Υποστηρίζονται η μία την άλλη στη δουλειά.,0,她们在工作中互相支持。,Υποστηρίζονται ο ένας τον άλλον στη δουλειά.,0,彼女たちは職場で互いに支え合います。,Υποστηρίζονται ο ένας τον άλλον στη δουλειά.,0,يدعمن بعضهن البعض في العمل.,Υποστηρίζονται η μία την άλλη στη δουλειά.,0,הן תומכות אחת בשנייה בעבודה.,Υποστηρίζονται η μία την άλλη στη δουλειά.,0,वे काम पर एक-दूसरे का समर्थन करती हैं।,Υποστηρίζονται η μία την άλλη στη δουλειά.,0,Wanaunga mkono kila mmoja kazini.,Υποστηρίζονται ο ένας τον άλλον στη δουλειά.,0
34,¿Cuál de las doctoras está de guardia hoy?,"Cuál, las doctoras (fem.)",Interrogative Pronouns,Ποια από τις γιατρούς εφημερεύει σήμερα;,Ποιος από τους γιατρούς έχει βάρδια σήμερα;,1,Gender change,0,1,0,0,0,0,0,Which of the doctors is on duty today?,Ποιος από τους γιατρούς είναι σε βάρδια σήμερα;,0,Vilken av läkarna har jour idag?,Ποιος από τους γιατρούς εφημερεύει σήμερα;,0,Hangi doktor bugün nöbette?,Ποιος γιατρός εφημερεύει σήμερα;,0,Laquelle des médecins est de garde aujourd'hui?,Ποια από τις γιατρούς εφημερεύει σήμερα;,0,Welche Ärztin hat heute Dienst?,Ποια γιατρός εφημερεύει σήμερα;,0,Какой врач сегодня дежурит?,Ποιος γιατρός εφημερεύει σήμερα;,0,Która lekarka ma dziś dyżur?,Ποια γιατρός εφημερεύει σήμερα;,0,Melyik orvos van ma ügyeleten?,Ποιος γιατρός εφημερεύει σήμερα;,0,Quale dottoressa è di turno oggi?,Ποια γιατρός εφημερεύει σήμερα;,0,Cila doktoreshe është në detyrë sot?,Ποια γιατρός εφημερεύει σήμερα;,0,今天哪位医生值班？,Ποιος γιατρός εφημερεύει σήμερα;,0,今日はどの医師が当番ですか？,Ποιος γιατρός εφημερεύει σήμερα;,0,أي طبيبة مناوبة اليوم؟,Ποια γιατρός εφημερεύει σήμερα;,0,איזו רופאה בתורנות היום?,Ποια γιατρός εφημερεύει σήμερα;,0,आज कौन सी महिला डॉक्टर ड्यूटी पर है?,Ποια γιατρός εφημερεύει σήμερα;,0,Ni daktari gani anayefanya kazi leo?,Ποιος γιατρός εφημερεύει σήμερα;,0
35,¿Cuáles de las ingenieras presentarán el proyecto?,"Cuáles, las ingenieras (fem.)",Interrogative Pronouns,Ποιες από τις μηχανικούς θα παρουσιάσουν το έργο;,Ποιος από τους μηχανικούς θα παρουσιάσει το έργο;,1,Gender and number change,0,1,0,0,1,0,0,Which of the engineers will present the project?,Ποιος από τους μηχανικούς θα παρουσιάσει το έργο;,1,Vilka av ingenjörerna kommer att presentera projektet?,Ποιοι από τους μηχανικούς θα παρουσιάσουν το έργο;,0,Hangi mühendisler projeyi sunacak?,Ποιοι μηχανικοί θα παρουσιάσουν το έργο;,0,Lesquelles des ingénieures présenteront le projet?,Ποιες από τις μηχανικούς θα παρουσιάσουν το έργο;,0,Welche Ingenieurinnen werden das Projekt präsentieren?,Ποιες μηχανικοί θα παρουσιάσουν το έργο;,0,Какие инженеры представят проект?,Ποιοι μηχανικοί θα παρουσιάσουν το έργο;,0,Które inżynierki zaprezentują projekt?,Ποιες μηχανικοί θα παρουσιάσουν το έργο;,0,Melyik mérnökök fogják bemutatni a projektet?,Ποιοι μηχανικοί θα παρουσιάσουν το έργο;,0,Quali ingegnere presenteranno il progetto?,Ποιες μηχανικοί θα παρουσιάσουν το έργο;,0,Cilat inxhiniere do të paraqesin projektin?,Ποιες μηχανικοί θα παρουσιάσουν το έργο;,0,哪些工程师将展示项目？,Ποιοι μηχανικοί θα παρουσιάσουν το έργο;,0,どのエンジニアがプロジェクトを発表しますか？,Ποιοι μηχανικοί θα παρουσιάσουν το έργο;,0,أي مهندسات سيقدمن المشروع؟,Ποιες μηχανικοί θα παρουσιάσουν το έργο;,0,אילו מהנדסות יציגו את הפרויקט?,Ποιες μηχανικοί θα παρουσιάσουν το έργο;,0,कौन सी महिला इंजीनियर परियोजना प्रस्तुत करेंगी?,Ποιες μηχανικοί θα παρουσιάσουν το έργο;,0,Ni wahandisi gani watawasilisha mradi?,Ποιοι μηχανικοί θα παρουσιάσουν το έργο;,0
36,Yo misma repararé el coche.,Yo misma (fem. intensive),Intensive Pronouns,Εγώ η ίδια θα επισκευάσω το αυτοκίνητο.,Θα επισκευάσω το αυτοκίνητο μόνος μου.,1,Gender and pronoun type change: 'ίδια' (fem.) → 'μόνος' (masc.),0,1,0,0,0,1,0,I myself will repair the car.,Εγώ ο ίδιος θα επισκευάσω το αυτοκίνητο.,0,Jag själv kommer att reparera bilen.,Εγώ ο ίδιος θα επισκευάσω το αυτοκίνητο.,0,Ben kendim arabayı tamir edeceğim.,Εγώ ο ίδιος θα επισκευάσω το αυτοκίνητο.,0,Moi-même je réparerai la voiture.,Εγώ η ίδια θα επισκευάσω το αυτοκίνητο.,0,Ich selbst werde das Auto reparieren.,Εγώ ο ίδιος θα επισκευάσω το αυτοκίνητο.,0,Я сам починю машину.,Εγώ ο ίδιος θα επισκευάσω το αυτοκίνητο.,0,Ja sama naprawię samochód.,Εγώ η ίδια θα επισκευάσω το αυτοκίνητο.,0,Én magam fogom megjavítani az autót.,Εγώ ο/η ίδιος/α θα επισκευάσω το αυτοκίνητο.,0,Io stessa riparerò la macchina.,Εγώ η ίδια θα επισκευάσω το αυτοκίνητο.,0,Unë vetë do ta riparoj makinën.,Εγώ η ίδια θα επισκευάσω το αυτοκίνητο.,0,我自己会修车。,Εγώ ο/η ίδιος/α θα επισκευάσω το αυτοκίνητο.,0,私自身が車を修理します。,Εγώ ο/η ίδιος/α θα επισκευάσω το αυτοκίνητο.,0,أنا نفسي سأصلح السيارة.,Εγώ η ίδια θα επισκευάσω το αυτοκίνητο.,0,אני עצמי אתקן את המכונית.,Εγώ η ίδια θα επισκευάσω το αυτοκίνητο.,0,मैं खुद कार की मरम्मत करूंगी।,Εγώ η ίδια θα επισκευάσω το αυτοκίνητο.,0,Mimi mwenyewe nitarekebishwa gari.,Εγώ ο/η ίδιος/α θα επισκευάσω το αυτοκίνητο.,0
37,Nosotras mismas organizaremos el evento.,Nosotras mismas (fem. intensive),Intensive Pronouns,Εμείς οι ίδιες θα οργανώσουμε την εκδήλωση.,Θα οργανώσουμε μόνοι μας την εκδήλωση.,1,Gender and pronoun type change: 'ίδιες' (fem.) → 'μόνοι' (masc.),0,1,0,0,0,1,0,We ourselves will organize the event.,Εμείς οι ίδιοι θα οργανώσουμε την εκδήλωση.,0,Vi själva kommer att organisera evenemanget.,Εμείς οι ίδιοι θα οργανώσουμε την εκδήλωση.,0,Biz kendimiz etkinliği organize edeceğiz.,Εμείς οι ίδιοι θα οργανώσουμε την εκδήλωση.,0,Nous-mêmes nous organiserons l'événement.,Εμείς οι ίδιες θα οργανώσουμε την εκδήλωση.,0,Wir selbst werden die Veranstaltung organisieren.,Εμείς οι ίδιοι θα οργανώσουμε την εκδήλωση.,0,Мы сами организуем мероприятие.,Εμείς οι ίδιοι θα οργανώσουμε την εκδήλωση.,0,My same zorganizujemy wydarzenie.,Εμείς οι ίδιες θα οργανώσουμε την εκδήλωση.,0,Mi magunk fogjuk megszervezni az eseményt.,Εμείς οι ίδιοι θα οργανώσουμε την εκδήλωση.,0,Noi stesse organizzeremo l'evento.,Εμείς οι ίδιες θα οργανώσουμε την εκδήλωση.,0,Ne vetë do të organizojmë ngjarjen.,Εμείς οι ίδιες θα οργανώσουμε την εκδήλωση.,0,我们自己会组织活动。,Εμείς οι ίδιοι θα οργανώσουμε την εκδήλωση.,0,私たち自身がイベントを企画します。,Εμείς οι ίδιοι θα οργανώσουμε την εκδήλωση.,0,نحن أنفسنا سننظم الحدث.,Εμείς οι ίδιες θα οργανώσουμε την εκδήλωση.,0,אנחנו עצמנו נארגן את האירוע.,Εμείς οι ίδιες θα οργανώσουμε την εκδήλωση.,0,हम खुद कार्यक्रम का आयोजन करेंगे।,Εμείς οι ίδιες θα οργανώσουμε την εκδήλωση.,0,Sisi wenyewe tutapanga tukio.,Εμείς οι ίδιοι θα οργανώσουμε την εκδήλωση.,0
38,los grandes bates que vimos,los grandes bates (polysemy: bats/clubs),Polysemous Nouns,Τα μεγάλα ρόπαλα που είδαμε,οι μεγάλες νυχτερίδες που είδαμε,1,Noun polysemy distortion,0,0,0,0,0,0,1,The big bats we saw,Οι μεγάλες νυχτερίδες που είδαμε,1,De stora slagträn vi såg,Τα μεγάλα ρόπαλα που είδαμε,0,Gördüğümüz büyük sopalar,Τα μεγάλα ρόπαλα που είδαμε,0,Les grandes battes que nous avons vues,Τα μεγάλα ρόπαλα που είδαμε,0,"Die großen Schläger, die wir sahen",Τα μεγάλα ρόπαλα που είδαμε,0,"Большие биты, которые мы видели",Τα μεγάλα ρόπαλα που είδαμε,0,"Duże kije, które widzieliśmy",Τα μεγάλα ρόπαλα που είδαμε,0,"A nagy ütők, amiket láttunk",Τα μεγάλα ρόπαλα που είδαμε,0,Le grandi mazze che abbiamo visto,Τα μεγάλα ρόπαλα που είδαμε,0,Shkopinjtë e mëdhenj që pamë,Τα μεγάλα ρόπαλα που είδαμε,0,我们看到的大球棒,Τα μεγάλα ρόπαλα που είδαμε,0,私たちが見た大きなバット,Τα μεγάλα ρόπαλα που είδαμε,0,المضارب الكبيرة التي رأيناها,Τα μεγάλα ρόπαλα που είδαμε,0,המחבטים הגדולים שראינו,Τα μεγάλα ρόπαλα που είδαμε,0,बड़े बल्ले जो हमने देखे,Τα μεγάλα ρόπαλα που είδαμε,0,Vibaki vikubwa tulivyoona,Τα μεγάλα ρόπαλα που είδαμε,0
39,Ese banco de ahi,banco (polysemy: bench/bank),Polysemous Nouns,Αυτό το παγκάκι εκει πέρα.,Εκείνο το παγκάκι εκεί πέρα,0,No gender bias; polysemy sentence — 'σφραγίδες' correctly preserved as seals,0,0,0,0,0,0,0,That bench there,Αυτό το παγκάκι εκεί,0,Den bänken där,Εκείνο το παγκάκι εκεί,0,Şuradaki bank,Εκείνο το παγκάκι εκεί,0,Ce banc là-bas,Εκείνο το παγκάκι εκεί,0,Diese Bank dort,Εκείνο το παγκάκι εκεί,0,Та скамейка там,Εκείνο το παγκάκι εκεί,0,Tamta ławka tam,Εκείνο το παγκάκι εκεί,0,Az a pad ott,Εκείνο το παγκάκι εκεί,0,Quella panchina là,Εκείνο το παγκάκι εκεί,0,Ai stol atje,Εκείνο το παγκάκι εκεί,0,那边的长凳,Εκείνο το παγκάκι εκεί,0,あそこのベンチ,Εκείνο το παγκάκι εκεί,0,ذلك المقعد هناك,Εκείνο το παγκάκι εκεί,0,הספסל ההוא שם,Εκείνο το παγκάκι εκεί,0,वह बेंच वहाँ,Εκείνο το παγκάκι εκεί,0,Benchi ile pale,Εκείνο το παγκάκι εκεί,0
